subject.ID,Anterior_hippocampus,Posterior_hippocampus,MISC,Meninges_PHC,ERC,Br35,Br36,PHC,ColSul,OTSul,Meninges
sub-1284264_ses-NAPEN00_run-001_T1w,1590.5,1737.5,117,203.5,630,603.5,1849.25,1032.5,399.25,164.25,306.25
sub-1284264_ses-NAPFU03_run-001_T1w,1593.25,1724.5,106.75,198,599.5,634.75,1875.25,1046.5,369.75,183.5,305.75
sub-1284264_ses-NAPFU12_run-001_T1w,1577.25,1719.5,113.5,199,594.75,679.25,1873.25,1039,362,166,365.25
sub-1284264_ses-NAPFU24_run-001_T1w,1571.25,1722.25,112,205.25,546.25,634,1809.75,1061,422,175.5,321.75
sub-1284264_ses-NAPFU36_run-001_T1w,1544,1712,107.25,195.5,574,554,1751,1035.25,518.75,228.25,324.5
sub-1322140_ses-NAPBL00_run-001_T1w,1756.75,1689.25,72.5,145.75,509,567,1945.25,1103,246.75,397.75,301.5
sub-1322140_ses-NAPEN00_run-001_T1w,1759.25,1700.75,61,164.25,507.75,603.25,1839.75,1092.25,233,351.75,335.75
sub-1322140_ses-NAPFU03_run-001_T1w,1778,1707.25,60.75,177.5,491,513,1897,1094,242,376,344.75
sub-1322140_ses-NAPFU12_run-001_T1w,1746.75,1707.75,73.25,192.75,488.75,566.75,1871.25,1105,275.75,367.5,391.75
sub-1322140_ses-NAPFU24_run-001_T1w,1753.75,1704.25,89.25,203.25,499.75,565.75,1927.25,1053,276.25,375.25,361.25
sub-1322140_ses-NAPFU36_run-001_T1w,1764.25,1698.5,71,192.25,487.5,597.75,1872,1079.25,277.5,341.5,358.5
sub-1346022_ses-PREBL00_run-001_T1w,1586.5,1719.5,61,155,686.5,534,1662.25,892.5,266.25,259.5,302.25
sub-1346022_ses-PREEN00_run-001_T1w,1557.5,1768.75,63,156.75,616.25,580.5,1616.25,885.25,275.75,243.5,327
sub-1346022_ses-PREFU12_run-001_T1w,1594.25,1731.5,74.75,145.25,618,574.75,1618.25,902,290.25,255,309.75
sub-1369125_ses-PREBL00_run-001_T1w,1762.5,1745.5,127.5,192.5,519.5,629,2383.5,998.25,555.75,74.5,395.5
sub-1369125_ses-PREEN00_run-001_T1w,1754,1742.25,100,192.25,545.25,673.75,2405.75,1035.25,519.75,62.75,345.5
sub-1369125_ses-PREFU12_run-001_T1w,1716.5,1719.25,103.5,202.25,556.75,616.25,2427,1031.25,545,74.25,363.25
sub-1369125_ses-PREFU24_run-001_T1w,1686.25,1701.5,122.75,203.5,552.75,645,2412.5,1020.5,538.75,68.75,381.25
sub-1404211_ses-NAPBL00_run-001_T1w,1968.25,2070.75,139.25,229.75,658.5,767.5,2135,1312.75,357.25,188.5,375
sub-1404211_ses-NAPEN00_run-001_T1w,1957.5,2110.5,129.75,224.25,658.75,722,2195.5,1286.25,355.75,169.75,393.25
sub-1404211_ses-NAPFU03_run-001_T1w,1972.75,2036,125,220.75,655.75,761.25,2054.75,1245.5,373,187,388.25
sub-1404211_ses-NAPFU12_run-001_T1w,1947.25,2021.25,145,240,645.25,719.75,1953.5,1238.5,433.75,191,446.75
sub-1404211_ses-NAPFU24_run-001_T1w,1991,2042,131.75,236.5,644,748.5,2022.25,1266.75,405.25,194.75,465.5
sub-1404211_ses-NAPFU36_run-001_T1w,1975,2014,153.5,233.25,678.25,717.25,2020,1244.25,392,215,403.5
sub-1404211_ses-NAPFU48_run-001_T1w,1995.25,1957.25,128,228,668.5,742.5,1976.75,1228.5,438.25,259.5,423.75
sub-1438245_ses-NAPBL00_run-001_T1w,1509,1292,16.75,99.25,611.5,633.5,2169.75,941.25,299.5,229,241.5
sub-1438245_ses-NAPEN00_run-001_T1w,1544,1311.75,12.5,101.75,572.5,636,2273,940.25,280,228.25,245.25
sub-1438245_ses-NAPFU03_run-001_T1w,1495,1300.5,12,84,613.5,607.5,2337.25,948.25,337.75,253.25,241
sub-1438245_ses-NAPFU12_run-001_T1w,1538,1355.75,10,101.75,508,587.5,2016,905.25,335.75,236,282
sub-1438245_ses-NAPFU24_run-001_T1w,1475.75,1336.75,14,132.5,593,577.75,2274.75,828.75,367.5,236.25,301.75
sub-1438245_ses-NAPFU36_run-001_T1w,1465.25,1321.25,26.75,134.5,631,610,2311.75,891.75,347.25,221.5,268.75
sub-1443924_ses-NAPBL00_run-001_T1w,1974.25,1941,128.5,237.75,588,611.75,2058,1200.5,360,353.75,298
sub-1443924_ses-NAPEN00_run-001_T1w,2030.75,1957.75,126,211.75,632.25,650.25,2248.25,1220.25,322.25,357.5,265.75
sub-1443924_ses-NAPFU03_run-001_T1w,1987.5,1931.5,137,242.5,585.5,681.25,2148,1169.5,328.75,337.75,332.75
sub-1443924_ses-NAPFU12_run-001_T1w,1974.75,1943.25,159,231,577.75,625.25,2076.75,1158.25,371,360.5,320
sub-1443924_ses-NAPFU24_run-001_T1w,2013.75,1891.5,137,193.5,584,664.5,2108.75,1165,357.25,357.25,315.75
sub-1512399_ses-NAPBL00_run-001_T1w,1673.75,1598.75,136,165.25,679.5,765.75,2056,1106.5,739,279.25,430.5
sub-1512399_ses-NAPEN00_run-001_T1w,1695.75,1613.75,140.25,169,676.25,780.25,2039.75,1108.25,723.25,273.25,429.75
sub-1512399_ses-PREFU12_run-001_T1w,1652,1561.75,145.75,161.25,605,780.5,2087,1118,742.5,273.5,429.75
sub-1512399_ses-PREFU24_run-001_T1w,1590.5,1527.75,143.5,181.25,591,752.75,2072.75,1078,751.25,230,532
sub-1512777_ses-NAPBL00_run-001_T1w,1654.5,1833.25,131,238.5,551.25,677,1982.5,1245.5,312,191.5,357
sub-1512777_ses-NAPEN00_run-001_T1w,1580.75,1817.5,147.5,224,577.5,710,1958.75,1199.75,305.75,183.25,334.5
sub-1512777_ses-NAPFU03_run-001_T1w,1643.75,1854.5,157,246.25,546.25,654.75,1953.75,1211,337,209.5,370.5
sub-1512777_ses-NAPFU12_run-001_T1w,1657.5,1843,138.75,239.25,558.5,662.5,1952.75,1157.25,374.25,204.25,361.25
sub-1512777_ses-NAPFU24_run-001_T1w,1627,1808.75,150,219,571.5,624.25,1932,1161.25,365.75,218.25,362
sub-1527281_ses-PREBL00_run-001_T1w,1768.75,1911.75,95,192,730.75,813.5,2202.75,1261.5,329.75,72.25,328.75
sub-1527281_ses-PREEN00_run-001_T1w,1748.5,1933.5,94.5,177.5,719,803,2246.25,1249.25,355.5,77.25,330
sub-1571844_ses-NAPBL00_run-001_T1w,2073.5,1425.75,175.5,142.75,675,682.25,2868.25,1017.25,721,42.5,483
sub-1571844_ses-NAPEN00_run-001_T1w,2101.5,1447.25,125,140.75,681,729.75,2928.75,1078,746.75,50,437.25
sub-1571844_ses-PREFU12_run-001_T1w,2003.75,1459.5,180.5,150.25,646.25,696.75,2792.5,994.75,781.25,51.75,500.25
sub-1571844_ses-PREFU24_run-001_T1w,2036.25,1441.25,175.75,141.25,654.25,689.75,2886.25,972.25,805,47.5,513.25
sub-1626987_ses-NAPBL00_run-001_T1w,2222,1807,178.5,96,724,738.75,3574.75,1473.75,656.75,245.75,452.25
sub-1626987_ses-NAPEN00_run-001_T1w,2195.75,1797.75,191.25,90.5,678.25,753.5,3677.5,1495.25,569,216.5,447
sub-1626987_ses-NAPFU03_run-001_T1w,2172.75,1848.5,189,94,657,739.5,3580.5,1403.5,637.5,281.5,467
sub-1626987_ses-NAPFU12_run-001_T1w,2243,1778.75,190,99,731.75,759.25,3609.25,1404,598.75,212,381.75
sub-1626987_ses-NAPFU24_run-001_T1w,2201.75,1812,198,90.5,656.5,737,3493.5,1409.5,637.25,261.5,449.25
sub-1626987_ses-NAPFU36_run-001_T1w,2157,1776.5,211.25,86.25,738,733,3534,1392.5,612.75,261,454.5
sub-1635604_ses-PREBL00_run-001_T1w,1579,1623.25,135,229,550.5,536.5,1817.75,800.75,162,271,398.75
sub-1635604_ses-PREEN00_run-001_T1w,1598.25,1686.75,132.25,240.25,525,590.75,1709.5,831.25,174.5,301,396.75
sub-1635604_ses-PREFU12_run-001_T1w,1556.25,1693.5,129,237.75,513.25,536,1803.75,796.25,176.25,265,402.5
sub-1635604_ses-PREFU24_run-001_T1w,1565.25,1577.75,122.5,238,536.5,550.75,1625.5,799.25,178.25,258.5,437.25
sub-1635604_ses-PREFU36_run-001_T1w,1602.75,1685,132.5,224.25,505.25,531.25,1652.75,842.25,185.25,310,390
sub-1635604_ses-PREFU48_run-001_T1w,1554.5,1636.25,146.25,246.5,528.25,532.25,1677.75,765,179.25,262.5,447.25
sub-1711090_ses-PREBL00_run-001_T1w,1737.25,1749.5,72.5,54,621,654.25,1987,834,292.25,413.75,260.25
sub-1711090_ses-PREEN00_run-001_T1w,1724.5,1782.25,66.25,70.5,657.5,588.5,2026,841.75,289.75,415.25,258.5
sub-1784075_ses-NAPBL00_run-001_T1w,1640.75,1635.5,133.25,181.5,518,605,2211.75,857.25,342.75,105,312.75
sub-1784075_ses-NAPEN00_run-001_T1w,1664.25,1622.25,133,180.25,536,589.75,2195,914.25,348,111.75,341.5
sub-1784075_ses-NAPFU03_run-001_T1w,1706.25,1622.75,143.25,177.25,523.25,592.75,2266.75,955,350.5,112.25,335
sub-1784075_ses-NAPFU12_run-001_T1w,1544.75,1531.25,148.25,172,441,599,2093,933.5,271.75,110.5,323.75
